"Package","Title","Version","Author","Maintainer","Description","Date","License","URL","NeedsCompilation","SystemRequirements","Downloads","Depends","Imports","LinkingTo","Suggests"
"rlang","Functions for Base Types and Core R and 'Tidyverse' Features","0.4.0","Lionel Henry [aut, cre],
Hadley Wickham [aut],
RStudio [cph]","Lionel Henry <lionel@rstudio.com>","A toolbox for working with base types, core R features
like the condition system, and core 'Tidyverse' features like tidy
evaluation.","2019-06-25","GPL-3","http://rlang.r-lib.org, https://github.com/r-lib/rlang","yes",NA,6550350,"R (>= 3.2.0)",NA,NA,"covr, crayon, magrittr, methods, pillar, rmarkdown, testthat (>= 2.0.0)"
"magrittr","A Forward-Pipe Operator for R","1.5","Stefan Milton Bache <stefan@stefanbache.dk> and Hadley Wickham <h.wickham@gmail.com>","Stefan Milton Bache <stefan@stefanbache.dk>","Provides a mechanism for chaining commands with a new forward-pipe operator, %>%. This operator will forward a value, or the result of an expression, into the next function call/expression. There is flexible support for the type of right-hand side expressions. For more information, see package vignette. To quote Rene Magritte, ""Ceci n'est pas un pipe.""","2014-11-22","MIT + file LICENSE",NA,"no",NA,6143027,NA,NA,NA,"testthat, knitr"
"Rcpp","Seamless R and C++ Integration","1.0.1","Dirk Eddelbuettel, Romain Francois, JJ Allaire, Kevin Ushey, Qiang Kou,
Nathan Russell, Douglas Bates and John Chambers","Dirk Eddelbuettel <edd@debian.org>","The 'Rcpp' package provides R functions as well as C++ classes which
offer a seamless integration of R and C++. Many R data types and objects can be
mapped back and forth to C++ equivalents which facilitates both writing of new
code as well as easier integration of third-party libraries. Documentation
about 'Rcpp' is provided by several vignettes included in this package, via the
'Rcpp Gallery' site at <http://gallery.rcpp.org>, the paper by Eddelbuettel and
Francois (2011, <doi:10.18637/jss.v040.i08>), the book by Eddelbuettel (2013,
<doi:10.1007/978-1-4614-6868-4>) and the paper by Eddelbuettel and Balamuta (2018,
<doi:10.1080/00031305.2017.1375990>); see 'citation(""Rcpp"")' for details.","2019-03-17","GPL (>= 2)","http://www.rcpp.org, http://dirk.eddelbuettel.com/code/rcpp.html,
https://github.com/RcppCore/Rcpp","yes",NA,6003023,"R (>= 3.0.0)","methods, utils",NA,"RUnit, inline, rbenchmark, knitr, rmarkdown, pinp, pkgKitten (>= 0.1.2)"
"dplyr","A Grammar of Data Manipulation","0.8.3","Hadley Wickham [aut, cre] (<https://orcid.org/0000-0003-4757-117X>),
Romain François [aut] (<https://orcid.org/0000-0002-2444-4226>),
Lionel Henry [aut],
Kirill Müller [aut] (<https://orcid.org/0000-0002-1416-3412>),
RStudio [cph, fnd]","Hadley Wickham <hadley@rstudio.com>","A fast, consistent tool for working with data frame like objects,
both in memory and out of memory.","2019-07-04","MIT + file LICENSE","http://dplyr.tidyverse.org, https://github.com/tidyverse/dplyr","yes",NA,5497363,"R (>= 3.2.0)","assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>= 1.5), methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>= 0.4.0), tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr, ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv, microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat, withr, broom, purrr, readr"
"tibble","Simple Data Frames","2.1.3","Kirill Müller [aut, cre],
Hadley Wickham [aut],
Romain Francois [ctb],
Jennifer Bryan [ctb],
RStudio [cph]","Kirill Müller <krlmlr+r@mailbox.org>","Provides a 'tbl_df' class (the 'tibble') that provides
stricter checking and better formatting than the traditional data frame.","2019-06-06","MIT + file LICENSE","http://tibble.tidyverse.org/, https://github.com/tidyverse/tibble","yes",NA,5233800,"R (>= 3.1.0)","cli, crayon (>= 1.3.4), fansi (>= 0.4.0), methods, pillar (>= 1.3.1), pkgconfig, rlang (>= 0.3.0), utils",NA,"bench, covr, dplyr, htmltools, import, knitr, mockr, nycflights13, rmarkdown, testthat, withr"
"ggplot2","Create Elegant Data Visualisations Using the Grammar of Graphics","3.2.0","Hadley Wickham [aut, cre],
Winston Chang [aut],
Lionel Henry [aut],
Thomas Lin Pedersen [aut],
Kohske Takahashi [aut],
Claus Wilke [aut],
Kara Woo [aut],
Hiroaki Yutani [aut],
RStudio [cph]","Hadley Wickham <hadley@rstudio.com>","A system for 'declaratively' creating graphics,
based on ""The Grammar of Graphics"". You provide the data, tell 'ggplot2'
how to map variables to aesthetics, what graphical primitives to use,
and it takes care of the details.","2019-06-16","GPL-2 | file LICENSE","http://ggplot2.tidyverse.org, https://github.com/tidyverse/ggplot2","no",NA,5111181,"R (>= 3.2)","digest, grDevices, grid, gtable (>= 0.1.1), lazyeval, MASS, mgcv, reshape2, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice, mapproj, maps, maptools, multcomp, munsell, nlme, profvis, quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 0.11.0), vdiffr (>= 0.3.0)"
"glue","Interpreted String Literals","1.3.1","Jim Hester [aut, cre]","Jim Hester <james.f.hester@gmail.com>","An implementation of interpreted string literals, inspired by
Python's Literal String Interpolation <https://www.python.org/dev/peps/pep-0498/> and Docstrings
<https://www.python.org/dev/peps/pep-0257/> and Julia's Triple-Quoted String Literals
<https://docs.julialang.org/en/stable/manual/strings/#triple-quoted-string-literals>.","2019-03-12","MIT + file LICENSE","https://github.com/tidyverse/glue","yes",NA,4487818,"R (>= 3.1)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI, RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr, ggplot2, dplyr, withr"
"pillar","Coloured Formatting for Columns","1.4.2","Kirill Müller [aut, cre],
Hadley Wickham [aut],
RStudio [cph]","Kirill Müller <krlmlr+r@mailbox.org>","Provides 'pillar' and 'colonnade' generics designed for formatting columns
of data using the full range of colours provided by modern terminals.","2019-06-29","GPL-3","https://github.com/r-lib/pillar","no",NA,4481377,NA,"cli, crayon (>= 1.3.4), fansi, rlang (>= 0.3.0), utf8 (>= 1.1.0), vctrs",NA,"knitr, lubridate, testthat, withr"
"data.table","Extension of `data.frame`","1.12.2","Matt Dowle [aut, cre],
Arun Srinivasan [aut],
Jan Gorecki [ctb],
Michael Chirico [ctb],
Pasha Stetsenko [ctb],
Tom Short [ctb],
Steve Lianoglou [ctb],
Eduard Antonyan [ctb],
Markus Bonsch [ctb],
Hugh Parsonage [ctb],
Scott Ritchie [ctb],
Kun Ren [ctb],
Xianying Tan [ctb],
Rick Saporta [ctb],
Otto Seiskari [ctb],
Xianghui Dong [ctb],
Michel Lang [ctb],
Watal Iwasaki [ctb],
Seth Wenchel [ctb],
Karl Broman [ctb],
Tobias Schmidt [ctb],
David Arenburg [ctb],
Ethan Smith [ctb],
Francois Cocquemas [ctb],
Matthieu Gomez [ctb],
Philippe Chataignon [ctb],
Declan Groves [ctb],
Daniel Possenriede [ctb],
Felipe Parages [ctb],
Denes Toth [ctb],
Mus Yaramaz-David [ctb],
Ayappan Perumal [ctb],
James Sams [ctb],
Martin Morgan [ctb],
Michael Quinn [ctb],
@javrucebo [ctb],
@marc-outins [ctb]","Matt Dowle <mattjdowle@gmail.com>","Fast aggregation of large data (e.g. 100GB in RAM), fast ordered joins, fast add/modify/delete of columns by group using no copies at all, list columns, friendly and fast character-separated-value read/write. Offers a natural and flexible syntax, for faster development.","2019-04-07","MPL-2.0 | file LICENSE","http://r-datatable.com","yes",NA,4161900,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo"
"R6","Encapsulated Classes with Reference Semantics","2.4.0","Winston Chang [aut, cre]","Winston Chang <winston@stdout.org>","Creates classes with reference semantics, similar to R's built-in
reference classes. Compared to reference classes, R6 classes are simpler
and lighter-weight, and they are not built on S4 classes so they do not
require the methods package. These classes allow public and private
members, and they support inheritance, even when the classes are defined in
different packages.","2019-02-14","MIT + file LICENSE","https://r6.r-lib.org, https://github.com/r-lib/R6/","no",NA,4116156,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales"
